vendor_name,Category,Location,Price Tier,Price (LKR),Rating (out of 5),Experience (Years),Weddings Completed,Response Time (Hours),Verified,Number of Packages,Social Media Followers,Repeat Client Rate,Recommended
Sapphire Banquet Lanka,Venues,Gampaha,Mid-Range,251400,4.1,9,207,21.8,Yes,5,40180,0.4,Yes
Delight Cakes Lanka,Wedding Cakes,Kurunegala,Mid-Range,60100,3.9,12,252,17.4,Yes,3,23711,0.38,Yes
Island Paradise Venue,Venues,Kalutara,Budget,140000,3.0,4,72,22.2,No,2,3619,0.23,No
Sandya Decorators,Decorators,Colombo,Budget,81600,3.6,6,126,2.7,No,2,11603,0.33,Yes
Heaven's Gate Venue,Venues,Kandy,Mid-Range,261000,4.2,4,44,14.7,Yes,2,28071,0.41,Yes
Premier Events Lanka,Entertainment,Gampaha,Budget,27400,4.5,18,250,25.8,No,1,8346,0.4,Yes
Euphoria Band Lanka,Entertainment,Matara,Budget,45700,2.7,13,250,2.9,Yes,2,902,0.19,No
Radiant Bride Lanka,Attire & Beauty,Kurunegala,Premium,334200,4.5,14,182,2.5,Yes,6,56485,0.5,Yes
The Orchid Hall Lanka,Venues,Colombo,Budget,79700,4.0,3,66,23.4,Yes,2,608,0.39,No
Malini Catering Services,Catering,Badulla,Mid-Range,397500,4.4,4,92,3.4,Yes,3,20007,0.48,Yes
Nilaveli Bay Resort,Venues,Kandy,Mid-Range,282400,3.3,14,280,22.7,Yes,2,21485,0.3,Yes
Pearl Auto Lanka,Wedding Cars,Kandy,Budget,17200,3.3,10,190,10.7,Yes,1,10508,0.21,Yes
Gala Events Sri Lanka,Entertainment,Colombo,Budget,42400,4.0,10,130,7.1,Yes,3,3857,0.35,Yes
Malisha Cake Designs,Wedding Cakes,Ampara,Premium,230600,4.4,7,126,3.5,Yes,6,57645,0.49,Yes
Sundara Cake Studio,Wedding Cakes,Polonnaruwa,Premium,219000,5.0,8,104,2.8,Yes,6,16282,0.57,Yes
Regal Print Studio,Wedding Invitations,Galle,Budget,8900,2.9,14,250,13.5,Yes,3,4743,0.24,No
Lush Floral Decor,Decorators,Galle,Mid-Range,180800,3.4,4,96,12.7,Yes,5,19096,0.21,No
Premasiri Catering,Catering,Colombo,Premium,774700,4.6,2,38,2.0,Yes,4,57307,0.52,Yes
Sanda Stationery Lanka,Wedding Invitations,Anuradhapura,Premium,100300,4.6,5,85,4.8,Yes,6,14044,0.51,No
Suresh Visual Studio,Photographers,Galle,Mid-Range,104400,3.9,2,46,2.4,Yes,2,9911,0.29,No
Lakeside Manor Lanka,Venues,Kalutara,Premium,1127000,4.5,7,98,2.6,Yes,5,41426,0.46,Yes
Mihiri Bridal Couture,Attire & Beauty,Colombo,Mid-Range,113400,3.8,11,154,16.1,Yes,5,37442,0.4,Yes
Dawn Light Photography,Photographers,Colombo,Budget,56500,3.6,6,120,23.6,No,3,5450,0.27,No
Thilini Beauty Salon,Attire & Beauty,Monaragala,Mid-Range,75800,3.1,2,32,11.7,No,4,14963,0.28,No
The Terrace Venue Lanka,Venues,Ratnapura,Budget,136000,4.3,10,240,20.2,Yes,3,1709,0.5,Yes
Heritage Invites Lanka,Wedding Invitations,Kalutara,Premium,127900,3.9,14,252,6.7,Yes,4,21147,0.36,Yes
Luxury Rides Lanka,Wedding Cars,Puttalam,Premium,62100,4.5,9,180,1.0,Yes,3,7419,0.51,No
Fiesta Entertainment Lanka,Entertainment,Gampaha,Budget,39600,3.2,4,56,17.2,Yes,1,7197,0.17,No
Pearls & Lace Boutique,Attire & Beauty,Colombo,Mid-Range,146400,3.8,7,140,8.2,Yes,2,24028,0.4,Yes
Royal Motor Weddings,Wedding Cars,Colombo,Budget,14400,4.6,17,153,18.1,Yes,1,7845,0.45,Yes
Ama Bridal Studio,Attire & Beauty,Nuwara Eliya,Mid-Range,126000,5.0,9,189,13.8,Yes,3,2651,0.52,Yes
Ivory Castle Hall,Venues,Colombo,Budget,132300,3.1,18,250,23.5,No,3,6373,0.24,No
Royal Icing Lanka,Wedding Cakes,Gampaha,Premium,226700,4.2,16,350,0.5,No,6,99042,0.42,Yes
Gardenia Venue Lanka,Venues,Colombo,Budget,94700,4.1,7,119,24.3,Yes,3,6102,0.35,No
Amara Paper Works,Wedding Invitations,Gampaha,Mid-Range,32000,3.5,16,272,21.8,Yes,2,7906,0.33,Yes
Classic Ceylon Cars,Wedding Cars,Gampaha,Mid-Range,28600,2.8,14,252,5.1,Yes,5,8431,0.14,Yes
Ceylon Script Studio,Wedding Invitations,Ratnapura,Mid-Range,48400,3.5,2,34,19.8,Yes,2,24192,0.23,No
Calligraphy Lanka,Wedding Invitations,Matale,Premium,105000,4.0,11,209,6.0,Yes,3,56792,0.43,Yes
Nisha Bridal Collections,Attire & Beauty,Gampaha,Premium,164200,5.0,3,72,3.2,Yes,6,100000,0.6,Yes
Paradise Decor Lanka,Decorators,Colombo,Mid-Range,169400,3.3,16,240,12.5,Yes,4,22039,0.22,Yes
Blue Horizon Hall,Venues,Gampaha,Budget,101200,3.9,2,20,8.0,No,2,2721,0.33,No
Samitha Catering,Catering,Kurunegala,Mid-Range,440300,3.7,8,168,2.4,Yes,5,15675,0.3,No
Bespoke Invites Lanka,Wedding Invitations,Ratnapura,Budget,9500,4.7,4,80,7.4,No,1,1980,0.5,Yes
Sweet Creations Lanka,Wedding Cakes,Gampaha,Mid-Range,44100,4.6,2,26,23.7,No,4,33357,0.55,Yes
Thilina Banquet Hall,Venues,Kalutara,Budget,109800,4.2,11,250,26.5,No,1,5806,0.41,Yes
Nirosha Band Lanka,Entertainment,Vavuniya,Mid-Range,92500,4.1,4,76,22.7,No,4,17365,0.45,No
Dilini Makeup & Bridal,Attire & Beauty,Puttalam,Mid-Range,124700,3.6,14,168,15.2,No,5,15885,0.26,No
Imara Lens Works,Photographers,Kandy,Premium,371000,3.5,13,143,4.5,Yes,5,19054,0.31,Yes
Nelum Catering Lanka,Catering,Jaffna,Premium,664600,4.7,12,228,6.5,Yes,6,56240,0.45,Yes
Kasun Decorators,Decorators,Puttalam,Budget,59500,3.6,1,9,33.7,No,3,5319,0.29,No
Kantha Print Lanka,Wedding Invitations,Colombo,Mid-Range,32600,4.3,3,51,8.3,No,2,4770,0.45,No
The Heritage Hall Lanka,Venues,Gampaha,Mid-Range,235900,4.8,4,56,14.1,Yes,5,2876,0.52,Yes
Bloom & Write Lanka,Wedding Invitations,Colombo,Mid-Range,29400,3.6,4,64,2.9,Yes,5,12329,0.24,Yes
Bake House Colombo,Wedding Cakes,Galle,Budget,11000,3.6,15,165,2.4,Yes,2,5710,0.25,Yes
Anoma Catering House,Catering,Kalutara,Mid-Range,373500,3.7,13,234,5.7,No,5,1126,0.24,Yes
Artisan Cards Lanka,Wedding Invitations,Ratnapura,Budget,3400,3.4,17,204,22.4,No,2,6375,0.29,No
Sandagiri Venue Lanka,Venues,Monaragala,Budget,101900,3.7,12,250,32.1,Yes,3,6566,0.23,Yes
Paper & Petals Lanka,Wedding Invitations,Anuradhapura,Premium,79000,3.9,10,110,1.8,Yes,4,74437,0.38,Yes
Golden Palm Venue,Venues,Kandy,Budget,136000,3.3,3,66,8.3,No,3,2557,0.21,No
Ink & Ivory Invitations,Wedding Invitations,Galle,Premium,82700,4.0,6,66,6.5,Yes,5,5652,0.36,Yes
Vibrance Entertainment,Entertainment,Batticaloa,Mid-Range,74300,3.9,15,315,16.9,Yes,2,20872,0.39,Yes
Chitra Stationery Studio,Wedding Invitations,Nuwara Eliya,Premium,104600,4.9,9,207,0.5,Yes,6,66177,0.44,Yes
Cinnamon Gardens Hall,Venues,Gampaha,Budget,64200,2.9,12,120,9.5,Yes,2,2555,0.12,Yes
Sugared Bliss Cakes,Wedding Cakes,Gampaha,Budget,19500,3.7,4,32,31.3,Yes,1,2688,0.28,No
Ceylon Feast,Catering,Kegalle,Premium,1087200,4.9,1,25,7.8,Yes,6,49192,0.59,Yes
Maestro Events Lanka,Entertainment,Galle,Mid-Range,50400,4.0,18,252,13.9,No,4,17707,0.33,Yes
The Cake Studio Lanka,Wedding Cakes,Galle,Mid-Range,28100,3.1,13,286,3.4,Yes,3,24731,0.2,Yes
Nilmini Cake Designs,Wedding Cakes,Ratnapura,Budget,14400,3.6,10,160,21.2,No,1,2387,0.34,Yes
Sandun Photography,Photographers,Galle,Mid-Range,152900,3.8,11,242,17.8,Yes,5,4638,0.27,Yes
Premium Wheels Lanka,Wedding Cars,Mannar,Mid-Range,34900,2.9,12,96,12.7,Yes,5,10517,0.16,No
Ornate Invites Lanka,Wedding Invitations,Gampaha,Budget,6000,3.4,7,56,29.3,Yes,2,445,0.25,No
Vivid Moments Lanka,Photographers,Vavuniya,Budget,33600,3.6,6,120,12.4,No,3,7576,0.34,No
The Manor Lanka,Venues,Colombo,Budget,114100,3.6,9,180,22.1,No,1,5647,0.28,No
Suwandha Catering,Catering,Colombo,Budget,161400,3.4,15,225,33.6,No,2,7133,0.28,No
Moments by Kasun,Photographers,Negombo,Budget,35100,2.9,3,39,2.9,Yes,1,9632,0.15,Yes
Suranga Bridal House,Attire & Beauty,Colombo,Mid-Range,96500,4.4,4,36,17.8,No,3,8019,0.5,No
Nimali Design Studio,Wedding Invitations,Batticaloa,Mid-Range,27100,3.7,15,120,23.5,Yes,3,10139,0.34,No
Lakshika Bridal Atelier,Attire & Beauty,Gampaha,Mid-Range,146900,4.2,7,161,15.8,Yes,5,6744,0.46,Yes
Lakeview Banquet Lanka,Venues,Kalutara,Premium,690000,4.4,13,286,3.2,Yes,6,73794,0.43,Yes
Nuwan Photography,Photographers,Colombo,Premium,212000,4.0,15,330,6.4,Yes,6,46545,0.33,Yes
Rasa Catering,Catering,Negombo,Budget,138400,4.2,13,208,5.0,No,3,4833,0.45,Yes
Blush Print Lanka,Wedding Invitations,Kandy,Mid-Range,17900,4.6,14,210,9.7,Yes,3,36938,0.48,Yes
Forever Frames Lanka,Photographers,Kegalle,Premium,316200,4.4,2,34,5.3,Yes,5,14856,0.38,Yes
Regal Gardens Lanka,Venues,Negombo,Budget,133000,4.5,16,250,7.5,Yes,2,2873,0.42,Yes
Royal Script Invitations,Wedding Invitations,Kalutara,Budget,7000,4.7,8,80,18.8,Yes,3,5313,0.41,Yes
Flavours of Ceylon,Catering,Kandy,Budget,132400,3.6,4,44,26.1,No,1,5365,0.23,No
Silver Note Band,Entertainment,Gampaha,Mid-Range,111000,4.0,14,182,2.3,Yes,2,26138,0.35,No
Eden Stationery Lanka,Wedding Invitations,Hambantota,Mid-Range,43100,4.0,5,110,13.7,Yes,3,23128,0.42,No
Kadamba Entertainment,Entertainment,Kurunegala,Premium,203600,4.2,10,210,2.4,Yes,5,66948,0.38,Yes
Tempo Lanka Band,Entertainment,Kandy,Premium,244900,4.2,7,154,6.3,Yes,4,100000,0.38,No
Jasmine Hall Lanka,Venues,Colombo,Budget,63600,4.6,1,9,20.6,No,2,14485,0.42,Yes
Gold Leaf Invitations,Wedding Invitations,Colombo,Mid-Range,17600,3.4,3,39,1.0,No,5,2044,0.22,Yes
Bloom Bridal Studio,Attire & Beauty,Negombo,Mid-Range,122400,3.9,10,180,7.6,Yes,4,15383,0.32,Yes
Vibe Events Lanka,Entertainment,Anuradhapura,Budget,48900,3.2,3,51,33.2,No,1,2519,0.2,No
Islandwide Entertainment,Entertainment,Jaffna,Premium,344200,3.8,6,114,1.4,Yes,3,44167,0.33,Yes
Thisara Catering,Catering,Kalutara,Mid-Range,294100,3.5,10,210,18.8,Yes,4,8497,0.3,Yes
Velvet Touch Cards Lanka,Wedding Invitations,Mannar,Premium,89200,4.6,13,117,3.4,Yes,6,50534,0.45,Yes
Divya Beauty Lounge,Attire & Beauty,Kandy,Mid-Range,63200,4.1,11,110,17.8,Yes,5,11584,0.35,Yes
Elegance Auto Lanka,Wedding Cars,Monaragala,Premium,188500,4.0,1,23,6.3,Yes,4,69891,0.34,No
White Rose Limo Lanka,Wedding Cars,Galle,Mid-Range,55400,3.9,17,136,23.4,Yes,2,15187,0.33,Yes
Starlight Decor Events,Decorators,Gampaha,Budget,60700,4.0,9,189,2.9,No,1,1593,0.33,Yes
Fusion Beats Lanka,Entertainment,Colombo,Mid-Range,84200,4.8,14,350,4.8,No,4,31334,0.56,Yes
Sunset Venue Lanka,Venues,Kurunegala,Budget,134500,2.9,1,13,35.5,No,1,6497,0.25,No
Malsha Event Decor,Decorators,Kalutara,Mid-Range,275900,3.2,7,70,17.7,No,5,21542,0.21,No
Sethum Decorators,Decorators,Colombo,Premium,674100,4.8,5,45,3.9,Yes,5,57436,0.46,Yes
Hasini Bridal Fashion,Attire & Beauty,Negombo,Mid-Range,128300,3.5,5,90,9.5,No,4,22742,0.32,No
Regal Bloom Decor,Decorators,Anuradhapura,Premium,578600,4.6,18,350,5.8,Yes,6,52762,0.49,Yes
Prestige Cars Lanka,Wedding Cars,Colombo,Budget,19200,2.8,18,250,25.4,No,2,6271,0.11,No
Spice Garden Catering,Catering,Negombo,Budget,152400,2.7,17,250,27.7,Yes,3,5852,0.08,No
Lens & Light Studio,Photographers,Kalutara,Premium,237900,4.0,17,170,5.6,Yes,4,51100,0.39,Yes
Fondant Dreams Lanka,Wedding Cakes,Nuwara Eliya,Mid-Range,39500,4.6,16,224,2.3,Yes,3,19590,0.47,Yes
The Pavilion Lanka,Venues,Gampaha,Premium,1464300,5.0,12,300,6.0,Yes,5,24707,0.49,Yes
Kavisha Beauty Studio,Attire & Beauty,Monaragala,Budget,44600,3.6,7,56,16.8,Yes,2,2305,0.27,No
Shanth Entertainment,Entertainment,Galle,Mid-Range,141100,3.6,17,391,9.6,No,4,4412,0.37,Yes
Dulari Bridal World,Attire & Beauty,Badulla,Premium,268500,4.5,7,140,7.1,Yes,4,67161,0.46,Yes
Rhythm Lanka Band,Entertainment,Kandy,Mid-Range,131400,4.3,3,57,7.8,Yes,4,30900,0.38,Yes
Amara Decor Lanka,Decorators,Negombo,Premium,340700,4.2,18,216,5.1,Yes,5,36432,0.36,Yes
Starlight Entertainment,Entertainment,Kandy,Mid-Range,68700,3.9,8,64,17.6,Yes,4,6008,0.27,Yes
Floral Bliss Decorators,Decorators,Anuradhapura,Premium,389300,4.6,16,144,6.7,Yes,3,62673,0.47,Yes
Melody Makers Lanka,Entertainment,Matara,Budget,49700,3.8,4,96,21.3,Yes,2,1112,0.25,No
Lakna Print Studio,Wedding Invitations,Colombo,Budget,8800,3.4,7,119,11.3,No,3,6845,0.23,No
Crafted With Love Lanka,Wedding Invitations,Galle,Premium,131100,4.8,3,27,4.1,Yes,4,62710,0.59,Yes
Regal Feast Catering,Catering,Colombo,Premium,865900,4.3,6,138,5.8,Yes,6,25596,0.47,Yes
Thisaru Decor Studio,Decorators,Galle,Premium,627400,4.3,1,23,3.7,Yes,6,7064,0.35,Yes
Prism Photography Lanka,Photographers,Mullaitivu,Mid-Range,88100,5.0,13,221,15.0,Yes,5,9809,0.52,Yes
Amara Banquet Hall,Venues,Kegalle,Mid-Range,401400,4.0,13,221,4.7,Yes,5,15416,0.41,Yes
Seyli Bridal Couture,Attire & Beauty,Matale,Premium,363400,4.5,2,22,3.2,Yes,4,59183,0.5,Yes
Capture Ceylon,Photographers,Gampaha,Mid-Range,134400,4.0,8,128,17.2,Yes,4,36527,0.44,Yes
Ceylon Classic Car Hire,Wedding Cars,Colombo,Budget,14100,4.7,18,250,17.5,Yes,1,1362,0.44,No
Eden Event Decor,Decorators,Kandy,Mid-Range,127400,3.2,7,91,0.9,Yes,5,44710,0.25,Yes
Glam Lanka Bridal Studio,Attire & Beauty,Kalutara,Mid-Range,149500,4.3,7,91,12.2,No,5,4206,0.35,No
Chamara Decorators,Decorators,Galle,Premium,864500,4.6,18,306,9.1,Yes,4,5889,0.46,Yes
Luxe Decor Lanka,Decorators,Badulla,Premium,566500,3.6,5,120,3.5,Yes,5,7345,0.27,Yes
Butter & Bloom Cakes,Wedding Cakes,Colombo,Budget,12300,3.0,2,50,27.7,No,3,9410,0.13,No
Nimasha Bridal Studio,Attire & Beauty,Colombo,Premium,373000,4.3,16,240,5.4,Yes,5,46033,0.49,Yes
Lakshmi Catering House,Catering,Kandy,Premium,1154000,4.2,9,153,8.1,Yes,3,42536,0.41,Yes
Live Beat Productions,Entertainment,Colombo,Budget,34700,3.1,17,250,5.8,No,1,1658,0.16,No
Crown Motor Services,Wedding Cars,Kandy,Premium,191000,4.1,1,11,4.3,Yes,5,100000,0.35,Yes
Celebrate Cakes Lanka,Wedding Cakes,Badulla,Mid-Range,28000,4.9,11,209,2.8,Yes,5,9218,0.5,Yes
Pristine Event Decor,Decorators,Gampaha,Mid-Range,244900,3.9,2,16,10.0,Yes,2,8106,0.36,No
Grand Ceylon Venue,Venues,Colombo,Premium,1713500,4.3,17,153,1.7,Yes,4,100000,0.39,Yes
Malki Beauty Lounge,Attire & Beauty,Colombo,Mid-Range,108500,3.6,10,150,0.7,Yes,4,41533,0.29,Yes
Bloom & Blossom Decor,Decorators,Galle,Mid-Range,190700,3.1,7,161,17.8,Yes,5,21618,0.2,Yes
Thisari Cake Studio,Wedding Cakes,Colombo,Mid-Range,25800,4.4,13,234,19.1,No,2,26925,0.5,Yes
Thisara Visual Studio,Photographers,Batticaloa,Budget,44500,3.8,6,138,29.1,No,2,6296,0.34,No
Milestone Photography,Photographers,Colombo,Premium,314500,3.9,14,196,5.1,Yes,3,61273,0.32,Yes
Anusha Bridal Collections,Attire & Beauty,Kalutara,Mid-Range,133700,3.7,8,152,22.8,Yes,5,7699,0.29,Yes
Golden Drape Atelier,Attire & Beauty,Gampaha,Budget,48700,2.6,14,126,34.7,No,1,6433,0.11,No
Serenade Entertainment,Entertainment,Trincomalee,Mid-Range,69100,3.3,10,200,1.7,No,4,15157,0.22,Yes
Grand Arrival Lanka,Wedding Cars,Galle,Budget,19900,2.6,5,120,14.5,No,2,5679,0.12,No
Sterling Car Hire Lanka,Wedding Cars,Galle,Mid-Range,27900,4.4,4,56,13.7,Yes,4,22336,0.39,Yes
Rolls Lanka Motors,Wedding Cars,Matara,Premium,186900,3.7,10,120,4.0,Yes,6,48716,0.24,Yes
Golden Hour Lanka,Photographers,Colombo,Mid-Range,107900,3.9,1,23,10.2,No,2,33178,0.39,No
The Grand Pavilion Lanka,Venues,Badulla,Mid-Range,236300,3.4,15,360,19.1,Yes,2,7858,0.23,Yes
Golden Spoon Catering,Catering,Galle,Budget,130100,2.2,17,250,8.7,No,2,7538,0.12,No
Regal Bridal Lanka,Attire & Beauty,Colombo,Budget,33600,3.9,4,100,17.9,Yes,2,1575,0.37,No
Savoy Car Services,Wedding Cars,Kalutara,Premium,92800,4.7,18,198,1.9,Yes,4,46225,0.45,Yes
Harmony Events Lanka,Entertainment,Colombo,Premium,280900,4.8,13,143,5.7,Yes,5,56396,0.57,Yes
Elegant Tier Cakes,Wedding Cakes,Gampaha,Premium,233100,4.2,15,350,6.4,Yes,6,27719,0.46,Yes
Lotus Flower Decorators,Decorators,Kandy,Premium,375700,3.9,9,126,2.6,Yes,5,76924,0.45,Yes
Crystal Ballroom Lanka,Venues,Colombo,Mid-Range,296500,4.0,6,102,5.9,Yes,4,16361,0.36,Yes
Bridal Wheels Lanka,Wedding Cars,Colombo,Budget,12600,3.4,3,75,3.8,Yes,3,9923,0.27,No
Delice Cake Lanka,Wedding Cakes,Kegalle,Budget,12600,4.4,5,60,11.3,Yes,3,969,0.5,Yes
Diamond Drive Lanka,Wedding Cars,Negombo,Budget,8600,3.8,9,144,26.2,No,2,11852,0.26,No
Crescendo Band Lanka,Entertainment,Galle,Mid-Range,136400,3.2,14,350,7.8,Yes,2,11426,0.22,Yes
Lotus Garden Venue,Venues,Anuradhapura,Mid-Range,396400,4.4,7,119,3.0,No,3,6206,0.51,Yes
Siyara Cake Creations,Wedding Cakes,Colombo,Mid-Range,40300,4.4,4,92,4.6,Yes,5,15164,0.38,Yes
Sunil Perera Entertainment,Entertainment,Colombo,Budget,30200,3.4,12,96,3.8,Yes,3,11154,0.34,Yes
Sandali Beauty Studio,Attire & Beauty,Kandy,Budget,31600,3.5,13,208,24.3,Yes,3,6365,0.3,Yes
Enchanted Events Lanka,Decorators,Monaragala,Budget,66600,4.4,1,14,35.5,Yes,3,2690,0.36,No
Pearl Hall Colombo,Venues,Hambantota,Budget,148300,4.4,13,195,16.3,Yes,1,647,0.46,Yes
Radiant Decor Studio,Decorators,Matara,Budget,86400,2.6,15,180,32.6,No,2,3191,0.18,No
Groove Island Band,Entertainment,Hambantota,Budget,16800,4.7,7,84,17.1,No,3,5613,0.44,No
Royal Kitchen Catering,Catering,Matale,Premium,1101600,4.3,9,225,1.7,Yes,6,57038,0.43,Yes
Serenity Resort Venue,Venues,Anuradhapura,Premium,1162400,4.2,8,120,1.7,Yes,6,49328,0.42,Yes
Serenity Decorators,Decorators,Kandy,Mid-Range,125700,4.3,3,66,5.6,Yes,5,11882,0.37,Yes
Emerald Garden Lanka,Venues,Gampaha,Mid-Range,341200,3.8,6,114,3.5,No,4,1848,0.32,No
Sapphire Decor Lanka,Decorators,Negombo,Mid-Range,190700,3.6,12,132,4.4,Yes,3,35790,0.29,Yes
Celebration Sounds Lanka,Entertainment,Colombo,Premium,381800,4.4,11,165,2.0,Yes,4,34903,0.46,Yes
Shutter & Soul Photography,Photographers,Trincomalee,Budget,27600,3.4,17,250,21.5,Yes,2,7589,0.32,Yes
Patisserie Ceylon,Wedding Cakes,Kurunegala,Budget,8700,4.4,10,190,29.0,Yes,1,4911,0.45,Yes
Savor Lanka Catering,Catering,Kalutara,Premium,1078900,4.3,6,84,5.7,Yes,5,24732,0.35,Yes
Thisara Bridal House,Attire & Beauty,Kandy,Budget,46700,4.2,13,221,27.6,Yes,2,807,0.37,Yes
Pulse Entertainment,Entertainment,Galle,Premium,267700,4.4,15,345,5.6,Yes,6,51779,0.4,No
Royal Melodies Lanka,Entertainment,Colombo,Premium,240300,3.4,10,140,3.2,Yes,3,89486,0.31,Yes
Alegria Entertainment,Entertainment,Galle,Budget,30200,3.4,12,180,4.4,Yes,2,4627,0.32,Yes
Sachith Photography,Photographers,Kandy,Mid-Range,115300,2.7,1,24,8.6,Yes,5,5892,0.16,No
Amali Makeup Studio,Attire & Beauty,Jaffna,Premium,382800,4.2,11,264,3.9,Yes,4,28773,0.46,Yes
The Royal Banquet Hall,Venues,Galle,Budget,84700,3.8,14,250,11.9,No,1,1952,0.31,No
Elegance Print Lanka,Wedding Invitations,Kurunegala,Premium,68000,4.5,10,100,7.0,Yes,5,46148,0.41,Yes
Rustic Charm Invites,Wedding Invitations,Matara,Budget,3500,3.5,9,171,36.0,No,1,2259,0.21,No
Araliya Catering,Catering,Hambantota,Mid-Range,336000,4.5,6,54,22.5,Yes,4,1188,0.42,Yes
Dewmi Bridal Couture,Attire & Beauty,Ratnapura,Mid-Range,108300,3.9,4,36,22.9,Yes,4,7050,0.28,No
DJ Kasun Events,Entertainment,Galle,Budget,16200,3.9,7,175,5.7,Yes,2,595,0.38,Yes
Whisk & Frost Lanka,Wedding Cakes,Galle,Mid-Range,73000,3.6,13,286,13.7,No,3,3046,0.31,No
Frame Perfect Lanka,Photographers,Gampaha,Premium,217100,4.3,12,156,0.5,Yes,4,45727,0.46,Yes
Sapphire Banquet Lanka,Venues,Gampaha,Budget,81300,3.4,4,56,8.8,Yes,1,1856,0.22,Yes
Island Beats Lanka,Entertainment,Badulla,Budget,30300,3.2,11,132,25.3,No,3,5688,0.19,No
Pearl Glow Beauty,Attire & Beauty,Mannar,Mid-Range,142900,4.2,17,391,21.1,Yes,2,14874,0.48,Yes
Soundwave Entertainment,Entertainment,Anuradhapura,Mid-Range,115500,3.6,15,225,14.5,Yes,2,14763,0.34,Yes
Dream Decor Creations,Decorators,Kalutara,Premium,800500,4.3,15,225,6.6,Yes,4,17836,0.44,No
Bloom Cake Studio,Wedding Cakes,Matara,Mid-Range,65400,4.4,12,96,25.2,Yes,3,8290,0.38,Yes
Bloom Stationery Lanka,Wedding Invitations,Colombo,Premium,60100,3.8,18,198,0.9,Yes,5,32242,0.32,Yes
Sithara Bridal Studio,Attire & Beauty,Kalutara,Mid-Range,149000,3.4,4,40,5.7,No,2,7537,0.22,No
Pearl Paper Studio,Wedding Invitations,Jaffna,Mid-Range,44700,3.9,7,56,20.2,Yes,2,24677,0.34,No
Amora Cake Boutique,Wedding Cakes,Kandy,Premium,240900,5.0,4,96,2.2,Yes,5,28861,0.55,Yes
Ayomi Bridal Boutique,Attire & Beauty,Colombo,Budget,24800,4.8,1,9,29.9,Yes,1,6940,0.44,No
Vision Studio Lanka,Photographers,Colombo,Budget,53400,3.1,17,238,31.8,No,2,2036,0.23,No
Island Paradise Venue,Venues,Batticaloa,Mid-Range,498200,3.6,10,180,3.7,Yes,3,19905,0.24,Yes
Sudu Nelum Catering,Catering,Gampaha,Premium,961200,3.9,3,48,2.8,Yes,4,54189,0.27,No
Anoma Cake House,Wedding Cakes,Colombo,Mid-Range,39300,4.4,4,84,18.3,Yes,5,6326,0.49,No
Sweet Layers Lanka,Wedding Cakes,Anuradhapura,Budget,11800,3.4,1,17,11.8,No,1,5729,0.3,No
Heritage Catering Lanka,Catering,Gampaha,Budget,85000,3.4,10,80,12.5,No,1,5930,0.28,No
Noble Fleet Lanka,Wedding Cars,Colombo,Premium,160800,3.5,8,176,3.2,Yes,5,87287,0.26,Yes
Script & Seal Lanka,Wedding Invitations,Colombo,Mid-Range,46300,3.7,2,24,18.7,Yes,4,5457,0.36,No
Forever Ink Invitations,Wedding Invitations,Badulla,Premium,107100,4.4,2,20,1.0,Yes,5,67758,0.47,Yes
Premier Events Lanka,Entertainment,Puttalam,Budget,20000,4.4,11,99,28.5,No,3,6871,0.46,Yes
Sugar & Spice Cakes Lanka,Wedding Cakes,Polonnaruwa,Budget,24300,4.1,6,96,6.8,No,2,1483,0.32,No
Sunrise Print Lanka,Wedding Invitations,Monaragala,Budget,14800,3.9,12,120,11.1,Yes,2,5967,0.4,Yes
Nelum Decorators,Decorators,Gampaha,Mid-Range,179400,3.7,16,208,12.8,Yes,5,25240,0.34,Yes
Elegant Touch Decor,Decorators,Hambantota,Mid-Range,127800,4.5,13,182,20.8,Yes,2,1243,0.47,No
Cloud Nine Cakes,Wedding Cakes,Negombo,Budget,16600,4.1,6,114,33.9,Yes,3,5418,0.37,No
Chauffeur Lanka,Wedding Cars,Kalutara,Mid-Range,32100,4.1,5,80,14.8,Yes,2,4744,0.47,Yes
Danidu Catering,Catering,Gampaha,Budget,89900,4.7,1,13,9.0,Yes,1,14902,0.43,Yes
Celebration Craft Lanka,Decorators,Kandy,Mid-Range,108300,4.4,11,176,7.3,Yes,3,1921,0.4,Yes
Silk & Grace Atelier,Attire & Beauty,Kalutara,Mid-Range,105300,4.3,5,125,16.2,Yes,2,17974,0.36,No
Lace & Letter Lanka,Wedding Invitations,Mullaitivu,Premium,83200,3.9,13,169,2.6,Yes,4,48769,0.33,Yes
Euphoria Band Lanka,Entertainment,Galle,Premium,298500,4.5,4,96,6.8,Yes,4,15692,0.4,Yes
Chamara Beauty Studio,Attire & Beauty,Colombo,Mid-Range,133000,3.9,11,253,16.7,Yes,2,43632,0.36,Yes
Radiant Bride Lanka,Attire & Beauty,Colombo,Budget,16900,2.8,11,110,34.3,No,1,7611,0.17,Yes
Prasanna Catering Services,Catering,Kandy,Mid-Range,305000,4.0,12,132,15.5,Yes,3,12219,0.38,Yes
Kaushi Cake Studio,Wedding Cakes,Galle,Budget,23100,2.7,6,78,11.2,No,3,2367,0.1,No
Gala Events Sri Lanka,Entertainment,Gampaha,Budget,33700,3.8,9,180,12.8,No,1,4254,0.41,Yes
Glow Events Decor,Decorators,Batticaloa,Mid-Range,275600,3.9,17,357,8.3,Yes,2,10765,0.39,Yes
